model,target,kind,rmse,mae,r2,train_sec,infer_sec
XGBoost,신규,MoM,8.985712372165304,3.1683315135783636,-0.0018864118306984867,0.11911487579345703,0.0045223236083984375
LightGBM,신규,MoM,8.986169339986121,3.1688153988528787,-0.0019883161589946408,0.18471741676330566,0.009757518768310547
RandomForest,신규,MoM,9.003144683529056,3.1891839179365133,-0.005777508368540074,1.536832571029663,0.08571100234985352
CatBoost,신규,MoM,8.98777265667803,3.1586115286164618,-0.0023458985388218334,2.722931385040283,0.010179758071899414
XGBoost,신규,YoY,6.44404197446213,2.554011955405618,0.0020397699203714703,0.10362768173217773,0.0053272247314453125
LightGBM,신규,YoY,6.4559765357749885,2.5829058859517096,-0.0016601583678415022,0.13012266159057617,0.006245136260986328
RandomForest,신규,YoY,6.454524785665265,2.5837413764084847,-0.0012097240334374426,1.4035346508026123,0.07447123527526855
CatBoost,신규,YoY,6.438412018678798,2.605434190293586,0.003782780797844554,1.2222447395324707,0.007111787796020508
XGBoost,해지,MoM,1.9369372981552815,1.4676835262947714,-0.000174195051753534,0.08812308311462402,0.004901885986328125
LightGBM,해지,MoM,1.9369068346932685,1.4677029568002562,-0.00014273453000579472,0.10059714317321777,0.0042247772216796875
RandomForest,해지,MoM,1.9376209215765585,1.4684245991402334,-0.0008803233976959479,1.5774991512298584,0.08545494079589844
CatBoost,해지,MoM,1.9437757313150894,1.463833750989356,-0.0072489704393972065,2.5871293544769287,0.012290716171264648
XGBoost,해지,YoY,1.8700554247163808,1.4555284321233009,-0.0141055789473854,0.09537935256958008,0.005425691604614258
LightGBM,해지,YoY,1.8607420351308304,1.449272317421832,-0.004029683374498605,0.09175372123718262,0.0063021183013916016
RandomForest,해지,YoY,1.8747730653609862,1.4485414831781478,-0.01922865736824142,1.4936044216156006,0.07536482810974121
CatBoost,해지,YoY,1.8742140358899317,1.36605878445997,-0.01862091031027102,2.06844162940979,0.011200666427612305
XGBoost,만기,MoM,4.020732199972931,2.1538263493360943,-0.00679966408654642,0.15781307220458984,0.006217241287231445
LightGBM,만기,MoM,4.010343058146382,2.1534368095889502,-0.0016034607586259408,0.10367846488952637,0.004914760589599609
RandomForest,만기,MoM,4.028243735734111,2.155257021771464,-0.010564986193991155,1.3829920291900635,0.07501649856567383
CatBoost,만기,MoM,4.017354026950308,2.1551379922497147,-0.005108571770781056,2.5879950523376465,0.008211135864257812
XGBoost,만기,YoY,3.631620274153054,2.436563468244581,-0.2808013552342188,0.1423804759979248,0.0064470767974853516
LightGBM,만기,YoY,3.51350307812418,2.387504806158526,-0.19884101094627638,0.10855579376220703,0.008479118347167969
RandomForest,만기,YoY,3.3038853014492013,2.2158395142441782,-0.06006095416654644,1.2001032829284668,0.07518506050109863
CatBoost,만기,YoY,3.815234656931419,2.530274584536309,-0.41358986752315485,2.4593312740325928,0.010969877243041992
